Invoice No.,Vendor Name,Address,Phone No,Mail,Date,Item/Material Name,Quantity,Unit,Unit Price,Tax Amount,Total Price,Payment Terms,Status,Due Date
INV000019,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,06-01-2024,Lettuce,14,kg,19.65,24.5,299.6,Net 15,Rejected,21-01-2024
INV000020,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,25-02-2024,Yogurt,122,kg,15.44,80.51,1964.19,Net 30,Approved,26-03-2024
INV000021,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,05-05-2025,Cream,113,liters,4.24,39.2,518.32,Net 60,Pending,04-07-2025
INV000022,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,15-02-2024,Prawns,9,kg,15.59,15.54,155.85,Net 15,Approved,01-03-2024
INV000023,Unknown Vendor Co.,"1834 Lewis Curve, Sanchezfort, AS 53855",311.265.6670,praviiabi@gmail.com,26-06-2024,Carrots,1,kg,7.94,1210.34,1218.28,Net 15,Rejected,11-07-2024
INV000024,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,08-11-2024,Cumin,20,grams,24.65,37.05,530.05,Net 60,Approved,07-01-2025
INV000025,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,20-09-2024,Bacon,84,kg,21.5,170.65,1976.65,Net 15,Approved,05-10-2024
INV000026,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,25-03-2024,Fish Fillet,88,kg,4.25,14.1,388.1,Net 15,Approved,09-04-2024
INV000027,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,12-07-2024,Banana,102,kg,17.75,171.29,1981.79,Net 30,Rejected,11-08-2024
INV000028,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,28-05-2024,Green Peas,78,kg,22.07,167.92,1889.38,Net 60,Approved,27-07-2024
INV000029,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,27-05-2024,Black Pepper,14,grams,22.32,7.14,319.62,Net 60,Rejected,26-07-2024
INV000000,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,05-06-2024,Bacon,17,kg,7.52,15.23,143.07,Net 60,Rejected,04-08-2024
INV000031,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,14-12-2024,Coriander,76,grams,12.96,51.76,1036.72,Net 15,Approved,29-12-2024
INV000032,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,18-04-2024,Milk,24,liters,5.29,14.32,141.28,Net 60,Approved,17-06-2024
INV000033,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,23-11-2024,Wheat,48,kg,1.52,3.22,76.18,Net 45,Approved,07-01-2025
INV000034,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,22-05-2024,Cumin,99,grams,10.97,35.39,1121.42,Net 30,Approved,21-06-2024
INV000035,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,04-08-2024,Cream,121,liters,22.95,172.11,2949.06,Net 30,Approved,03-09-2024
INV000036,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,25-12-2024,Chocolate Sauce,117,liters,9.86,82.68,1236.3,Net 30,Rejected,24-01-2025
INV000037,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,13-07-2024,Lettuce,96,kg,11.4,125.91,1220.31,Net 60,Rejected,11-09-2024
INV000038,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,28-02-2024,Cooking Oil,16,liters,8.22,5.95,137.47,Net 30,Approved,29-03-2024
INV000039,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,10-12-2024,Tomatoes,123,kg,21.64,76.19,2737.91,Net 15,Approved,25-12-2024
INV000040,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,03-03-2025,Rice,110,kg,13.77,162.26,1676.96,Net 45,Rejected,17-04-2025
INV000041,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,17-03-2024,Mushrooms,67,kg,17.43,43.57,1211.38,Net 60,Approved,16-05-2024
INV000042,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,09-02-2024,Wheat,17,kg,3.07,4.04,56.23,Net 15,Approved,24-02-2024
INV000043,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,21-05-2025,Coriander,66,grams,8.75,61.87,639.37,Net 45,Approved,05-07-2025
INV000044,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,23-02-2025,Potatoes,67,kg,16.65,61.4,1176.95,Net 45,Rejected,09-04-2025
INV000045,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,12-01-2024,Sugar,71,kg,3.04,7.55,223.39,Net 30,Rejected,11-02-2024
INV000046,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,13-03-2024,Chocolate Sauce,97,liters,18.63,107.96,1915.07,Net 60,Approved,12-05-2024
INV000047,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,02-07-2024,Pasta,27,kg,6.4,10.67,183.47,Net 30,Approved,01-08-2024
INV000048,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,09-05-2024,Ginger,92,kg,17.42,183.84,1786.48,Net 15,Approved,24-05-2024
INV000049,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,11-11-2024,Paneer,16,kg,6.4,4.33,106.73,Net 45,Approved,26-12-2024
INV000050,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,12-01-2025,Vanilla Essence,40,ml,16.4,70.39,726.39,Net 15,Approved,27-01-2025
INV000051,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,08-01-2025,Carrots,71,kg,12.87,92.67,1006.44,Net 15,Approved,23-01-2025
INV000052,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,15-06-2024,Fish Fillet,149,kg,5.11,18.08,779.47,Net 60,Approved,14-08-2024
INV000053,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,07-11-2024,Turmeric,67,grams,10.57,20.93,729.12,Net 45,Approved,22-12-2024
INV000054,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,15-02-2024,Green Peas,74,kg,23.16,90.41,1804.25,Net 45,Rejected,31-03-2024
INV000055,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,07-05-2024,Tomatoes,24,kg,12.95,15.96,326.76,Net 15,Approved,22-05-2024
INV000056,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,21-10-2024,Milk,40,liters,23.6,66.71,1010.71,Net 15,Approved,05-11-2024
INV000057,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,02-01-2024,Fish Fillet,124,kg,23.14,179.3,3048.66,Net 30,Approved,01-02-2024
INV000058,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,30-10-2024,Turmeric,114,grams,16.53,91.29,1975.71,Net 30,Approved,29-11-2024
INV000059,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,24-07-2024,Wheat,39,kg,3.18,11.36,135.38,Net 15,Approved,08-08-2024
INV000060,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,19-12-2024,Cream,26,liters,24.65,13.01,653.91,Net 60,Approved,17-02-2025
INV000061,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,09-08-2024,Onions,74,kg,6.27,13.28,477.26,Net 45,Approved,23-09-2024
INV000062,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,24-11-2024,Rice,69,kg,15.98,106.94,1209.56,Net 60,Approved,23-01-2025
INV000063,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,07-03-2025,Chocolate Sauce,72,liters,6.39,40.64,500.72,Net 15,Rejected,22-03-2025
INV000064,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,29-05-2025,Mint Leaves,138,grams,3.64,29.63,531.95,Net 30,Pending,28-06-2025
INV000065,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,13-01-2025,Potatoes,58,kg,10.53,14.46,625.2,Net 60,Approved,14-03-2025
INV000066,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,30-04-2024,Cheese,95,kg,7.72,58.85,792.25,Net 30,Approved,30-05-2024
INV000067,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,27-05-2024,Bell Pepper,115,kg,3.81,35.2,473.35,Net 60,Rejected,26-07-2024
INV000068,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,18-08-2024,Milk,17,liters,19.58,22.36,355.22,Net 30,Rejected,17-09-2024
INV000069,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,18-06-2024,Chicken Breast,87,kg,8.2,20.73,734.13,Net 15,Approved,03-07-2024
INV000003,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,19-05-2025,Paneer,98,kg,17.33,74.27,1772.61,Net 45,Approved,03-07-2025
INV000071,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,25-03-2025,Lettuce,93,kg,22.96,78.63,2213.91,Net 15,Approved,09-04-2025
INV000072,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,25-02-2025,Chili Powder,101,grams,12.07,45.42,1264.49,Net 15,Approved,12-03-2025
INV000073,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,17-02-2024,Mushrooms,149,kg,6.18,57.32,978.14,Net 30,Approved,18-03-2024
INV000074,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,31-08-2024,Chocolate Sauce,146,liters,19.07,174.9,2959.12,Net 15,Approved,15-09-2024
INV000075,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,14-02-2024,Potatoes,134,kg,4.07,59.68,605.06,Net 45,Approved,30-03-2024
INV000076,Unknown Vendor Co.,"81219 Emma Freeway, Wilsonshire, IA 76381",'+1-509-616-9985x435,praviiabi@gmail.com,08-02-2024,Bell Pepper,57,kg,5.9,35.81,372.11,Net 15,Approved,23-02-2024
INV000077,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,03-11-2024,Bell Pepper,21,kg,17.48,20.25,387.33,Net 30,Approved,03-12-2024
INV000078,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,11-04-2024,Spinach,126,kg,14.32,160.62,1964.94,Net 60,Approved,10-06-2024
INV000079,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,16-05-2025,Fish Fillet,6,kg,17.15,3.06,105.96,Net 15,Approved,31-05-2025
INV000080,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,21-08-2024,Mutton,57,kg,21.33,56.82,1272.63,Net 30,Approved,20-09-2024
INV000081,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,21-12-2024,Banana,64,kg,11.36,58.22,785.26,Net 30,Approved,20-01-2025
INV000082,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,02-09-2024,Fish Fillet,75,kg,22.99,135.85,1860.1,Net 60,Rejected,01-11-2024
INV000083,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,26-02-2024,Vanilla Essence,14,ml,6.08,5.95,91.07,Net 60,Approved,26-04-2024
INV000084,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,08-01-2024,Soda Water,31,liters,23.21,49.84,769.35,Net 45,Approved,22-02-2024
INV000085,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,21-12-2024,Butter,10,kg,11.97,7.54,127.24,Net 30,Approved,20-01-2025
INV000086,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,27-04-2025,Soda Water,20,liters,18.73,43.39,417.99,Net 15,Approved,12-05-2025
INV000087,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,13-03-2025,Cheese,63,kg,22.57,46.23,1468.14,Net 15,Rejected,28-03-2025
INV000088,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,18-03-2024,Chili Powder,37,grams,3.14,11.89,128.07,Net 30,Approved,17-04-2024
INV000089,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,26-02-2024,Milk,14,liters,8.56,9.72,129.56,Net 30,Approved,27-03-2024
INV000090,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,21-02-2025,Onions,79,kg,6.31,32.09,530.58,Net 30,Rejected,23-03-2025
INV000091,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,14-06-2024,Chocolate Sauce,20,liters,15.46,21.24,330.44,Net 45,Approved,29-07-2024
INV000092,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,27-01-2025,Spinach,49,kg,5.27,25.76,283.99,Net 60,Rejected,28-03-2025
INV000093,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,24-07-2024,Vanilla Essence,147,ml,23.31,386.5,3813.07,Net 60,Approved,22-09-2024
INV000094,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,12-04-2024,Black Pepper,140,grams,8.49,34.63,1223.23,Net 45,Approved,27-05-2024
INV000095,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,28-09-2024,Chocolate Sauce,117,liters,18.43,124.29,2280.6,Net 45,Approved,12-11-2024
INV000009,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,11-07-2024,Turmeric,66,grams,24.33,104.86,1710.64,Net 60,Approved,09-09-2024
INV000097,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,08-07-2024,Soda Water,117,liters,3.24,22.5,401.58,Net 60,Approved,06-09-2024
INV000098,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,14-10-2024,Lemon,104,pieces,6.36,17.33,678.77,Net 30,Rejected,13-11-2024
INV000099,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,09-08-2024,Fish Fillet,116,kg,15.87,200.32,2041.24,Net 45,Approved,23-09-2024
INV000100,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,02-05-2024,Wheat,147,kg,24.2,279.61,3837.01,Net 45,Approved,16-06-2024
INV000101,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,06-12-2024,Ice Cream Base,2,liters,22.45,1.11,46.01,Net 60,Approved,04-02-2025
INV000102,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,25-02-2025,Mint Leaves,118,grams,14.74,74.05,1813.37,Net 15,Rejected,12-03-2025
INV000103,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,22-08-2024,Onions,107,kg,14.05,61.25,1564.6,Net 15,Rejected,06-09-2024
INV000104,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,20-04-2025,Wheat,109,kg,9.56,34.39,1076.43,Net 30,Pending,20-05-2025
INV000105,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,22-05-2025,Bacon,149,kg,14.95,233.4,2460.95,Net 30,Pending,21-06-2025
INV000106,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,14-02-2025,Ginger,98,kg,3.16,25.12,334.8,Net 30,Rejected,16-03-2025
INV000107,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,07-01-2024,Carrots,18,kg,22.95,36.76,449.86,Net 60,Approved,07-03-2024
INV000108,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,06-03-2025,Flour,57,kg,24.25,155.67,1537.92,Net 30,Pending,05-04-2025
INV000109,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,20-08-2024,Cream,37,liters,13.28,53.11,544.47,Net 60,Rejected,19-10-2024
INV000110,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,30-05-2025,Butter,6,kg,21.71,11.69,141.95,Net 60,Approved,29-07-2025
INV000111,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,21-03-2024,Bell Pepper,36,kg,20.33,26.23,758.11,Net 60,Approved,20-05-2024
INV000112,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,14-04-2024,Chicken Breast,92,kg,10.34,39.3,990.58,Net 30,Approved,14-05-2024
INV000113,FreshFarm Produce,"386 Shane Harbors, Port Lindachester, MA 36922",2125551034,praviiabi@gmail.com,24-07-2024,Turmeric,39,grams,14.23,18.14,573.11,Net 30,Approved,23-08-2024
INV000114,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,30-03-2024,Paneer,63,kg,15.27,96.64,1058.65,Net 15,Rejected,14-04-2024
INV000115,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,24-03-2024,Bread,126,pieces,23.41,100.53,3050.19,Net 30,Approved,23-04-2024
INV000116,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,05-03-2025,Cheese,106,kg,17.93,205.28,2105.86,Net 15,Approved,20-03-2025
INV000117,BeverageBay,"514 Moore Alley Suite 828, Port Colleenhaven, PA 26572",6465559911,praviiabi@gmail.com,30-04-2024,Carrots,69,kg,11.24,90.42,865.98,Net 30,Approved,30-05-2024
INV000118,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,30-07-2024,Wheat,98,kg,4.97,21.71,508.77,Net 30,Rejected,29-08-2024
INV000119,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,06-08-2024,Wheat,144,kg,12.24,121.17,1883.73,Net 30,Approved,05-09-2024
INV000120,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,14-04-2025,Potatoes,51,kg,13.78,14.86,717.64,Net 15,Approved,29-04-2025
INV000121,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,12-06-2024,Banana,31,kg,20.23,64.74,691.87,Net 30,Approved,12-07-2024
INV000122,SpiceHub,"76724 John Points Suite 969, Coxberg, NY 65187",4085559921,praviiabi@gmail.com,23-09-2024,Butter,72,kg,3.79,27.23,300.11,Net 15,Approved,08-10-2024
INV000123,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,07-06-2024,Soft Drink Syrup,144,liters,8.24,27.43,1213.99,Net 15,Approved,22-06-2024
INV000124,SeaCatch Ltd.,"22691 James Mountain, Tashatown, TX 94967",7135558321,praviiabi@gmail.com,07-05-2025,Soda Water,38,liters,5.04,11.75,203.27,Net 15,Approved,22-05-2025
INV000125,MeatMaster Co,"71822 Arroyo Expressway, Allisonchester, IL 71187",3235552290,praviiabi@gmail.com,24-07-2024,Carrots,117,kg,13.98,170.18,1805.84,Net 30,Approved,23-08-2024
INV000126,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,27-01-2025,Fish Fillet,34,kg,3.23,2.45,112.27,Net 60,Approved,28-03-2025
INV000127,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,14-01-2025,Mutton,100,kg,20.35,127.47,2162.47,Net 15,Rejected,29-01-2025
INV000128,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,14-07-2024,Eggs,146,pieces,14.09,218.43,2275.57,Net 60,Approved,12-09-2024
INV000129,DessertCart,"433 Jill Springs, New Roberttown, CO 29158",9175552233,praviiabi@gmail.com,09-02-2024,Rice,22,kg,24.07,20.62,550.16,Net 45,Rejected,25-03-2024
INV000130,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,12-03-2024,Banana,22,kg,21.01,51.84,514.06,Net 60,Rejected,11-05-2024
INV000131,Organic Fruits Co.,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",8185553300,praviiabi@gmail.com,07-05-2025,Ginger,44,kg,24.45,96.25,1172.05,Net 30,Pending,06-06-2025
INV000132,Golden Grains,"16155 Roman Stream Suite 816, New Kellystad, OK 25704",3125556754,praviiabi@gmail.com,25-11-2024,Yogurt,109,kg,19.89,255.72,2423.73,Net 45,Approved,09-01-2025
INV000133,OilWell Traders,"341 Michelle Light, Shawnstad, GA 49021",4155557832,praviiabi@gmail.com,02-08-2024,Bread,126,pieces,17.15,242.09,2402.99,Net 45,Rejected,16-09-2024
INV000134,Dairy Delights,"809 Burns Creek, Natashaport, IA 08093",6465551188,praviiabi@gmail.com,04-02-2024,Butter,110,kg,5.11,34.67,596.77,Net 30,Approved,05-03-2024
